# Vector Elements,Table Entries
4,500
4,500
4,1000
4,1000
4,1000
4,1000
4,1000
4,1000
4,1000
4,1000
4,1000
8,5000
8,5000
8,5000
8,5000
8,5000
8,5000
8,5000
8,5000
8,5000
8,5000
8,5000
8,5000
8,5000
8,5000
8,15000
8,15000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,50000
8,100000
8,100000
8,150000
8,150000
16,500000
16,500000
16,500000
16,500000
16,500000
16,500000
16,500000
16,500000
16,500000
16,500000
16,500000
16,500000
16,500000
16,500000
16,500000
16,500000
16,1000000
16,1000000
16,5000000
32,10000000
32,100000000
4,100
4,100
4,100
4,100
4,100
4,100
4,100
4,100
4,100
4,100
4,100
4,100
4,500
4,500
4,500
4,500